Date,Central (kWh),Civil (kWh),North Tower (kWh),South Tower (kWh)
01-01-2019 00:00,121.829,93.576,43.537,88.677
01-01-2019 01:00,122.528,94.166,43.221,87.990
01-01-2019 02:00,121.191,94.725,43.231,94.752
01-01-2019 03:00,120.859,97.048,43.434,88.709
01-01-2019 04:00,120.500,95.032,42.527,88.926
01-01-2019 05:00,120.677,96.062,42.700,89.539
01-01-2019 06:00,120.219,94.803,44.927,92.399
01-01-2019 07:00,119.602,108.339,61.382,99.188
01-01-2019 08:00,128.088,165.053,77.058,106.739
01-01-2019 09:00,128.227,167.099,77.821,105.838
01-01-2019 10:00,129.570,168.176,77.499,110.078
01-01-2019 11:00,130.864,167.014,77.855,107.257
01-01-2019 12:00,130.828,166.904,77.774,106.283
01-01-2019 13:00,131.980,165.091,78.399,108.882
01-01-2019 14:00,130.628,166.673,78.497,107.916
01-01-2019 15:00,132.736,166.719,78.717,106.191
01-01-2019 16:00,132.290,170.029,80.069,105.455
01-01-2019 17:00,132.160,173.931,82.683,113.570
01-01-2019 18:00,129.957,177.147,83.832,103.995
01-01-2019 19:00,129.355,123.014,71.820,100.805
01-01-2019 20:00,123.116,105.908,62.582,99.720
01-01-2019 21:00,122.932,105.253,46.140,93.790
01-01-2019 22:00,121.853,107.703,44.290,88.765
01-01-2019 23:00,121.396,108.823,43.998,87.695
02-01-2019 00:00,122.256,107.080,43.589,88.493
02-01-2019 01:00,121.767,109.023,42.369,91.164
02-01-2019 02:00,121.789,109.115,42.296,88.056
02-01-2019 03:00,120.690,107.676,42.464,88.117
02-01-2019 04:00,121.364,105.913,42.226,89.758
02-01-2019 05:00,125.225,123.217,45.824,89.094
02-01-2019 06:00,132.504,136.847,54.883,90.942
02-01-2019 07:00,166.317,172.660,96.789,132.975
02-01-2019 08:00,231.344,262.801,121.480,162.269
02-01-2019 09:00,295.979,315.967,142.384,173.133
02-01-2019 10:00,327.350,360.300,206.091,199.885
02-01-2019 11:00,328.725,385.766,247.693,212.800
02-01-2019 12:00,305.098,391.831,221.832,214.253
02-01-2019 13:00,311.507,370.568,235.626,209.047
02-01-2019 14:00,331.922,371.217,221.425,216.652
02-01-2019 15:00,336.800,368.270,227.743,223.330
02-01-2019 16:00,305.396,358.216,230.677,215.602
02-01-2019 17:00,252.646,358.860,180.339,206.548
02-01-2019 18:00,197.265,328.586,164.467,179.864
02-01-2019 19:00,179.751,229.855,133.690,140.369
02-01-2019 20:00,136.557,187.059,99.046,128.528
02-01-2019 21:00,128.869,148.490,72.501,113.099
02-01-2019 22:00,129.159,130.318,57.921,100.499
02-01-2019 23:00,125.611,135.535,52.897,101.315
03-01-2019 00:00,126.003,135.007,47.561,106.003
03-01-2019 01:00,125.363,136.594,46.370,97.861
03-01-2019 02:00,125.709,130.572,46.048,97.075
03-01-2019 03:00,125.845,129.408,46.534,98.325
03-01-2019 04:00,123.992,129.672,46.234,96.454
03-01-2019 05:00,126.909,131.664,47.152,96.792
03-01-2019 06:00,134.607,147.520,61.202,108.342
03-01-2019 07:00,164.300,187.571,102.307,145.805
03-01-2019 08:00,256.788,280.783,137.368,188.776
03-01-2019 09:00,327.295,353.677,155.998,240.561
03-01-2019 10:00,367.085,427.033,216.133,280.627
03-01-2019 11:00,366.514,449.536,257.595,281.742
03-01-2019 12:00,353.394,464.980,227.384,272.711
03-01-2019 13:00,346.760,445.073,231.990,246.169
03-01-2019 14:00,356.158,445.347,251.406,252.594
03-01-2019 15:00,349.478,446.286,235.797,256.266
03-01-2019 16:00,332.288,436.583,231.744,261.936
03-01-2019 17:00,287.279,404.246,193.127,239.005
03-01-2019 18:00,223.207,358.490,173.420,203.358
03-01-2019 19:00,194.522,260.924,136.912,170.189
03-01-2019 20:00,148.621,193.372,102.117,138.111
03-01-2019 21:00,135.323,168.536,67.679,112.340
03-01-2019 22:00,133.874,158.456,59.971,100.985
03-01-2019 23:00,131.526,161.436,54.704,107.590
04-01-2019 00:00,131.264,156.194,52.993,101.629
04-01-2019 01:00,127.450,152.750,50.115,100.422
04-01-2019 02:00,127.156,149.756,50.877,99.743
04-01-2019 03:00,127.314,148.565,49.459,99.989
04-01-2019 04:00,128.954,143.091,48.922,101.990
04-01-2019 05:00,130.675,145.594,49.903,98.643
04-01-2019 06:00,143.364,170.894,62.656,103.899
04-01-2019 07:00,174.865,217.283,102.966,146.062
04-01-2019 08:00,259.420,325.581,139.740,192.349
04-01-2019 09:00,335.062,402.260,161.475,234.944
04-01-2019 10:00,369.699,449.185,224.283,260.575
04-01-2019 11:00,380.820,465.705,264.313,272.780
04-01-2019 12:00,337.339,478.106,228.870,284.077
04-01-2019 13:00,350.586,459.539,232.156,263.239
04-01-2019 14:00,356.463,442.618,251.293,261.732
04-01-2019 15:00,357.767,445.240,241.944,257.405
04-01-2019 16:00,345.405,449.203,245.302,251.057
04-01-2019 17:00,301.061,425.261,200.764,230.889
04-01-2019 18:00,240.050,347.870,173.033,194.461
04-01-2019 19:00,196.137,254.096,135.447,164.569
04-01-2019 20:00,157.811,193.609,96.695,143.198
04-01-2019 21:00,132.736,160.562,71.919,120.746
04-01-2019 22:00,128.443,150.175,60.885,104.899
04-01-2019 23:00,126.139,153.809,56.136,106.341
05-01-2019 00:00,125.282,148.559,53.703,97.528
05-01-2019 01:00,123.719,144.103,50.071,96.654
05-01-2019 02:00,123.217,143.148,49.150,96.523
05-01-2019 03:00,122.559,139.121,48.671,99.471
05-01-2019 04:00,122.824,138.374,48.721,95.971
05-01-2019 05:00,124.205,133.868,48.975,95.887
05-01-2019 06:00,128.113,123.604,49.706,96.044
05-01-2019 07:00,135.472,131.859,51.345,110.983
05-01-2019 08:00,134.661,149.820,52.732,106.321
05-01-2019 09:00,127.123,152.127,48.994,110.335
05-01-2019 10:00,129.706,161.405,50.430,111.516
05-01-2019 11:00,129.603,158.612,51.195,116.867
05-01-2019 12:00,127.335,168.536,51.474,112.363
05-01-2019 13:00,129.678,173.605,51.473,112.409
05-01-2019 14:00,132.696,165.702,53.838,115.192
05-01-2019 15:00,133.161,173.268,53.588,120.742
05-01-2019 16:00,133.952,179.081,54.366,112.750
05-01-2019 17:00,136.507,188.409,58.405,112.171
05-01-2019 18:00,131.257,182.911,59.258,113.712
